site_url,score
http://thekitchn.com,8.0
http://folha.uol.com.br,9.0
http://divxtotal2.net,10.0
http://camdolls.com,7.0
http://royalmail.com,7.0
http://muz-color.ru,7.0
http://viki.com,7.0
http://114la.com,7.0
http://laposte.net,8.0
http://vodafone.de,7.0
http://mheducation.com,7.0
http://olx.kz,7.0
http://opera.com,8.0
http://auto.ru,7.0
http://biblehub.com,8.0
http://raiplay.it,7.0
http://tiu.ru,7.0
http://yonhapnews.co.kr,7.0
http://aif.ru,7.0
http://cargurus.com,8.0
http://ratemyprofessors.com,8.0
http://camelcamelcamel.com,9.0
http://sparknotes.com,7.0
http://seriouseats.com,9.1
http://glassdoor.co.in,8.0
http://foursquare.com,7.0
http://rg.ru,8.0
http://dnvod.tv,7.0
http://ibtimes.com,7.0
http://michaels.com,8.0
http://saturn.de,8.0
http://megaresheba.ru,7.0
http://opentable.com,10.0
http://kbb.com,7.0
http://cwtv.com,8.0
http://dailythanthi.com,8.0
http://endclothing.com,10.0
http://duba.com,7.0
http://multitran.ru,7.0
http://livescience.com,8.0
http://jezebel.com,8.0
http://alphacoders.com,8.0
http://itslearning.com,7.0
http://casasbahia.com.br,9.0
http://maplestage.com,7.0
http://kaspersky.com,7.0
http://rusvesna.su,8.0
http://etrade.com,8.0
http://shmoop.com,8.0
http://pelispedia.tv,7.0
http://socialplant.com,7.0
http://news24.com,8.0
http://skidrowreloaded.com,10.0
http://dostor.org,7.0
http://cheatsheet.com,8.0
http://mbc.net,8.0
http://barclaycardus.com,7.0
http://coupons.com,9.0
http://ency-education.com,8.0
http://mihanblog.com,7.0
http://lastampa.it,7.0
http://redflagdeals.com,7.0
http://q.gs,7.0
http://eluniverso.com,8.0
http://tarafdari.com,8.0
http://intesasanpaolo.com,8.0
http://kitco.com,58.05
http://to8to.com,7.0
http://portaldoholanda.com.br,9.0
http://theyoump3.com,10.0
http://bfmtv.com,10.0
http://autoscout24.de,7.0
http://tecmundo.com.br,7.0
http://cars.com,9.0
http://jizzbunker.com,7.0
http://citibankonline.com,24.35
http://digitalspy.com,8.0
http://uchicago.edu,7.0
